event_id,scenario_id,occurred_at,event_name,visitor_id,session_id,placement_id,properties,is_synthetic
evt_control_001,scenario_01_full_funnel,2026-09-06T10:00:00Z,ad_click,visitor_control_001,session_control_001,pl_002,"{""course_id"":""course_ml_start"",""landing_url"":""https://postupashki.example/courses/ml-start""}",true
evt_control_002,scenario_01_full_funnel,2026-09-06T10:00:03Z,landing_view,visitor_control_001,session_control_001,pl_002,"{""course_id"":""course_ml_start"",""page_url"":""https://postupashki.example/courses/ml-start""}",true
evt_control_003,scenario_01_full_funnel,2026-09-06T10:01:00Z,course_view,visitor_control_001,session_control_001,pl_002,"{""course_id"":""course_ml_start""}",true
evt_control_004,scenario_01_full_funnel,2026-09-06T10:03:00Z,course_selected,visitor_control_001,session_control_001,pl_002,"{""course_id"":""course_ml_start""}",true
evt_control_005,scenario_01_full_funnel,2026-09-06T10:04:00Z,manager_click,visitor_control_001,session_control_001,pl_002,"{""course_id"":""course_ml_start""}",true
evt_control_006,scenario_01_full_funnel,2026-09-06T10:04:05Z,lead_created,visitor_control_001,session_control_001,pl_002,"{""lead_id"":""lead_control_001"",""course_id"":""course_ml_start""}",true
evt_control_007,scenario_01_full_funnel,2026-09-06T10:07:00Z,conversation_started,visitor_control_001,session_control_001,pl_002,"{""lead_id"":""lead_control_001"",""course_id"":""course_ml_start""}",true
evt_control_008,scenario_01_full_funnel,2026-09-06T10:20:00Z,order_created,visitor_control_001,session_control_001,pl_002,"{""lead_id"":""lead_control_001"",""order_id"":""order_control_001"",""course_id"":""course_ml_start"",""amount"":42900,""currency"":""RUB"",""status"":""created"",""created_at"":""2026-09-06T10:20:00Z""}",true
evt_control_009,scenario_01_full_funnel,2026-09-06T10:30:00Z,payment_succeeded,visitor_control_001,session_control_001,pl_002,"{""lead_id"":""lead_control_001"",""order_id"":""order_control_001"",""payment_id"":""payment_control_001"",""course_id"":""course_ml_start"",""amount"":42900,""currency"":""RUB"",""status"":""succeeded"",""paid_at"":""2026-09-06T10:30:00Z""}",true
evt_control_010,scenario_01_full_funnel,2026-09-06T10:31:00Z,course_access_granted,visitor_control_001,session_control_001,pl_002,"{""lead_id"":""lead_control_001"",""order_id"":""order_control_001"",""payment_id"":""payment_control_001"",""course_id"":""course_ml_start"",""granted_at"":""2026-09-06T10:31:00Z""}",true
evt_control_011,scenario_02_multi_touch,2026-09-03T09:00:00Z,ad_click,visitor_control_002,session_control_002a,pl_001,"{""course_id"":""course_ml_start"",""landing_url"":""https://postupashki.example/courses/ml-start""}",true
evt_control_012,scenario_02_multi_touch,2026-09-03T09:00:04Z,landing_view,visitor_control_002,session_control_002a,pl_001,"{""course_id"":""course_ml_start"",""page_url"":""https://postupashki.example/courses/ml-start""}",true
evt_control_013,scenario_02_multi_touch,2026-09-03T09:02:00Z,course_view,visitor_control_002,session_control_002a,pl_001,"{""course_id"":""course_ml_start""}",true
evt_control_014,scenario_02_multi_touch,2026-09-08T12:00:00Z,ad_click,visitor_control_002,session_control_002b,pl_005,"{""course_id"":""course_data_analytics"",""landing_url"":""https://postupashki.example/courses/data-analytics""}",true
evt_control_015,scenario_02_multi_touch,2026-09-08T12:00:03Z,landing_view,visitor_control_002,session_control_002b,pl_005,"{""course_id"":""course_data_analytics"",""page_url"":""https://postupashki.example/courses/data-analytics""}",true
evt_control_016,scenario_02_multi_touch,2026-09-08T12:01:00Z,course_view,visitor_control_002,session_control_002b,pl_005,"{""course_id"":""course_data_analytics""}",true
evt_control_017,scenario_02_multi_touch,2026-09-08T12:03:00Z,course_selected,visitor_control_002,session_control_002b,pl_005,"{""course_id"":""course_data_analytics""}",true
