date,revenue
2026-07-01,12800
2026-07-02,11075
2026-07-03,19350
2026-07-04,24825
2026-07-05,23100
2026-07-06,9575
2026-07-07,12850
2026-07-08,13325
2026-07-09,11600
2026-07-10,19875
2026-07-11,25350
2026-07-12,23625
2026-07-13,10100
2026-07-14,13375
2026-07-15,13850
2026-07-16,12125
2026-07-17,20400
2026-07-18,25875
2026-07-19,24150
2026-07-20,10625
2026-07-21,13900
2026-07-22,14375
2026-07-23,12650
2026-07-24,20925
2026-07-25,26400
2026-07-26,24675
2026-07-27,11150
2026-07-28,14425
2026-07-29,14900
2026-07-30,13175
2026-07-31,21450
2026-08-01,26925
2026-08-02,25200
2026-08-03,11675
2026-08-04,14950
2026-08-05,15425
2026-08-06,13700
2026-08-07,21975
2026-08-08,27450
2026-08-09,25725
2026-08-10,12200
2026-08-11,15475
2026-08-12,15950
2026-08-13,14225
2026-08-14,22500
2026-08-15,27975
2026-08-16,26250
2026-08-17,12725
2026-08-18,16000
2026-08-19,16475
2026-08-20,14750
2026-08-21,23025
2026-08-22,28500
2026-08-23,26775
2026-08-24,13250
2026-08-25,16525
